rodney-creech	West Alexandria	77 South High Street12th Floor Columbus, OH 43215	(614) 466-2960	(614) 719-6940	Agriculture,Commerce and Labor,Local Government,Public Safety	Morehead State University, Bachelor’s Degree, Agronomy, Turf Science	Twin Township Trustee, 2008-2014, Preble County Commissioner, 2015-2020, Ohio House of Representatives, Chairman of the House Agriculture Committee, 2021-Present	Started a small lawn care business	
jack-k-daniels	New Franklin	77 South High Street11th Floor Columbus, OH 43215	(614) 466-1790	(614) 719-6943	Insurance,Small Business,Transportation,Ways and Means	University of Akron		House of Representatives, Vice Chair of the House Transportation Committee, 2024-Present, New Franklin City Council, Council President, 2024	
levi-dean	Not Listed	77 South High Street11th Floor Columbus, OH 43215	(614) 466-1470	(614) 719-6984	Agriculture,Commerce and Labor,Development,Small Business				
kellie-deeter	Not Listed	77 South High Street13th Floor Columbus, OH 43215	(614) 466-9628	(614) 719-3958	Arts, Athletics, and Tourism,Children and Human Services,Health,Insurance	Marysville University of St. Louis, Doctorate, Nursing Practice, University of Akron, Master's, BGSU in consortium with the Medical College of Ohio, BS, Nursing	Ohio State Association of Nurse Anesthetists, President, Ohio State Association of Nurse Anesthetists, Treasurer, Ohio State Association of Nurse Anesthetists, Director of State Government Relations, American Association of Nurse Anesthesiology, Finance Committee Member, Ohio House of Representatives, Representative, 2023-	Firelands Anesthesia, Owner, Actively practices	St. Paul Catholic Church, Member
steve-demetriou	Bainbridge Twp.	77 S. High St12th Floor Columbus, OH 43215	(614) 644-5088	(614) 719-6998	Development,Small Business,Technology and Innovation,Ways and Means	United States Military Academy at West Point, BS, Economics	Ohio House of Representatives, Majority Whip, 2023-Present, Ohio House of Representatives, Representative, 2021-2023	U.S. Army, Infantry Officer, Formerly, Small Business Owner, Owner, Formerly, Investment Business, Owner, Currently	Sts. Constantine and Helen Greek Orthodox Church, Parish Council
sedrick-denson	Cincinnati	77 South High Street10th Floor Columbus, OH 43215	(614) 466-1308	(614) 719-3587	Financial Institutions,Natural Resources,Technology and Innovation	School for Creative and Performing Arts,,Drama, dance, music theatre and percussion,University of Cincinnati,Organizational Leadership	Cincinnati-Hamilton County Community Action Agency,Educator,Cincinnati City Council,Chief of Staff,For Ohio’s Future Action Fund,Southwest Ohio Outreach Director, 	Cincinnati-Hamilton County Community Action Agency,Educator,Formerly,Ohio Environmental Council,Southwest Ohio Director,Currently	Greater Cincinnati National Action Network,Political Action Chair,African American Chamber of Commerce,Government Affairs Chair
michael-d-dovilla	Not Listed	77 South High Street13th Floor Columbus, OH 43215	(614) 466-4895	(614) 719-6957	Energy,Finance,Veterans and Military Development,Workforce and Higher Education	Baldwin Wallace University, BA, Economics and Political Science, The American University, MPA, International Management, U.S. Naval War College, MA, National Security and Strategic Studies, University of Illinois, EdD, Education Policy, Organization and Leadership	Ohio House of Representatives, Representative, 2011-2016, 2023-Present, Ohio House of Representatives, Majority Whip, House Republican Policy Committee, Chairman, House Finance Committee, Vice Chairman	U.S. Office of Personnel Management, Senior-level presidential appointee, Formerly, U.S. Senator George V. Voinovich, Principal advisor, Formerly, U.S. Department of State, Presidential Management Fellow, Formerly, The Dovilla Group, Founder and Leader, Formerly, The Grindstone Institute, Founder and Leader, Formerly, USS Cleveland Legacy Foundation, President and CEO, Formerly	Scripture reader at church, Mentor to college students
ron-ferguson	Wintersville	77 South High Street13th Floor Columbus, OH 43215	(614) 466-3735	(614) 719-6995	Financial Institutions,Government Oversight,Medicaid,Technology and Innovation	The Ohio State University, BA, Communications	Ohio House of Representatives, Representative, 2021-Present, House Government Oversight Committee, Vice Chair, 2021-Present, Financial Institutions Committee, Member, 2021-Present, Medicaid Committee, Member, 2021-Present, Technology and Innovation Committee, Member, 2021-Present	WTOV-TV, Television Journalist, Formerly, 7 Ranges Entertainment, Co-owner, Currently	
tex-fischer	Not Listed	77 South High Street13th Floor Columbus, OH 43215	(614) 466-6107	(614) 719-3959	Development,Energy,General Government,Natural Resources			American Conservation Coalition, National Field Director, 2018-2021, Mahoning County Republican Party, 1st Vice Chairman, 2022, Ohio House of Representatives, Representative, 2023-Present	Digital Media Business, Owner, Currently
sarah-fowler-arthur	Ashtabula	77 South High Street12th Floor Columbus, OH 43215	(614) 466-1405	(614) 719-6999	Children and Human Services,Community Revitalization,Education,Local Government	Ohio University, BS		Ohio House of Representatives, Chair of the Education Committee, 2021-Present, State Board of Education, 2013-2020	
haraz-n-ghanbari	Perrysburg	77 South High Street13th Floor Columbus, OH 43215	(614) 466-8104	(614) 719-0006	Arts, Athletics, and Tourism,Public Safety,Small Business,Veterans and Military Development	Kent State University, BS, Visual Journalism,United States Naval War College, Command and Staff Program,University of Toledo, MS	Ohio House of Representatives, Representative, 2019-Present,The University of Toledo, Director of Military and Veteran Affairs, Formerly,The Associated Press, Staff Photojournalist, Formerly	Iraq and Afghanistan Veterans of America, American Legion, VFW, Military Officer Association of America, CedarCreek Church	
chris-glassburn	North Olmsted	77 South High Street10th Floor Columbus, OH 43215	(614) 466-3100	(614) 719-6944	Development,Energy,Finance,Public Insurance and Pensions				
